ELEMENT				SAMPLE

abbrev 				abbrev.xml
abbrev-journal-title 		Samp48.xml
abstract 			samp-abstr2.xml
abstract 			samp1-abstr.xml
access-date 			access-date.xml
ack 				Samp9.xml
addr-line 			samp31.xml
address 			samp31.xml
aff 				samp1-artmeta2.xml
alt-text 			Samp4.xml
alt-title 			alt-title.xml
annotation 			Samp36.xml
app 				Samp13.xml
app-group 			Samp13.xml
array 				Samp49.xml
article 			samp1-wholeart.xml
article-categories 		Samp43.xml
article-id 			samp1-artmeta.xml
article-meta 			samp1-wholeart.xml
article-title 			article-title_meta.xml
article-title 			nlm-citation1
attrib 				Samp54.xml
author-comment 			samp1-artmeta2.xml
author-notes 			author-notes.xml
back 				Samp9.xml
bio 				samp52.xml
body 				Samp2.xml
bold 				Samp14.xml
boxed-text 			Samp5.xml
break 				samp31.xml
caption 			caption_fig.xml
caption 			caption_table.xml
citation 			citation.xml
col 				col-colgroup.xml
colgroup 			col-colgroup.xml
collab 				nlm-citation2
comment 			nlm-citation10
conf-acronym 			Samp42.xml
conf-date 			Samp42.xml
conf-loc 			Samp42.xml
conf-name 			Samp42.xml
conf-num 			Samp42.xml
conf-sponsor 			Samp42.xml
conf-theme 			Samp42.xml
conference 			Samp42.xml
contract-num 			contract.xml
contract-sponsor 		contract.xml
contrib 			samp1-artmeta2.xml
contrib-group 			samp1-artmeta2.xml
copyright-statement 		samp1-artmeta3.xml
copyright-year 			samp1-artmeta3.xml
corresp 			corresp.xml
country 			samp31.xml
counts 				samp42.xml
custom-meta 			custom-meta-fake.xml
custom-meta-wrap 		custom-meta-fake.xml
date 				samp1-artmeta3.xml
day 				samp1-artmeta3.xml
day 				nlm-citation2
def 				Samp61.xml
def-head 			Samp61.xml
def-item 			Samp61.xml
def-list 			Samp61.xml
degrees 			samp31.xml
disp-formula 			Samp17.xml
disp-quote 			disp-quote.xml
edition 			Samp12.xml
edition 			nlm-citation4
elocation-id 			elocation-id.xml
email 				Samp11.xml
email 				email-notes.xml
equation-count 			samp42.xml
ext-link 			ext-link.xml
ext-link 			ext-link-fn.xml
fax 				samp31.xml
fig 				Samp4.xml
fig-count 			samp42.xml
fn 				fn_table.xml
fn 				fn_author-notes.xml
fn 				fn-fngrp.xml
fn-group 			fn-group.xml
fpage 				fpage_meta.xml
fpage 				nlm-citation1
front 				samp1-wholeart.xml
given-names 			samp1-artmeta2.xml
gloss-group 			Samp50.xml
glossary 			Samp50.xml
glyph-data 			Samp28.xml
glyph-ref 			Samp28.xml
gov 				Samp37.xml
graphic 			Samp4.xml
history 			samp1-artmeta3.xml
history 			history.xml
hr 				Samp6.xml
inline-formula 			inline-formula.xml
inline-supplementary-material 	Samp57.xml
institution 			samp31.xml
isbn 				Samp30.xml
issn 				samp1-artmeta.xml
issue 				samp1-artmeta3.xml
issue 				nlm-citation1
issue-title 			issue-title.xml
italic 				Samp8.xml
journal-id 			samp1-artmeta.xml
journal-meta 			samp1-artmeta.xml
journal-title 			journal-title.xml
kwd 				Samp26.xml
kwd-group 			Samp26.xml
label 				label.xml
license 			license.xml
list 				Samp5.xml
list-item 			Samp5.xml
lpage 				lpage_meta.xml
lpage 				nlm-citation1
meta-name 			custom-meta-fake.xml
meta-value 			custom-meta-fake.xml
mml:math 			Samp59.xml
monospace 			Samp25.xml
month 				samp1-artmeta3.xml
month 				nlm-citation1
name 				samp1-artmeta2.xml
named-content 			named-content.xml
nlm-citation 			nlm-citation1
notes 				Samp24.xml
on-behalf-of 			Samp29.xml
p 				Samp2.xml
page-count 			samp42.xml
page-range 			page-range.xml
patent 				patent.xml
person-group 			nlm-citation1
phone 				samp31.xml
preformat 			Samp53.xml
preformat 			preformat.xml
private-char 			Samp28.xml
product 			samp30.xml
pub-date 			samp1-artmeta3.xml
pub-id 				samp7.xml
publisher 			samp1-artmeta.xml
publisher-loc 			nlm-citation8
publisher-name 			pub-name-meta.xml
publisher-name 			nlm-citation8
ref 				ref-list.xml
ref-count 			samp42.xml
ref-list 			ref-list.xml
related-article 		related-article.xml
response 			samp47.xml
role 				samp1-artmeta2.xml
role 				role-cite.xml
sc 				Samp20.xml
season 				season.xml
season 				nlm-citation6
sec 				sec.xml
self-uri 			self-uri.xml
series 				nlm-citation9
series-title 			samp15.xml
source 				nlm-citation1
speaker 			Samp46.xml
speech 				Samp46.xml
statement 			Samp45.xml
std 				std.xml
sub 				subsup-stack.xml
sub 				Samp21.xml
sub-article 			samp44.xml
subj-group 			samp43.xml
subject 			samp43.xml
subtitle 			Samp19.xml
suffix 				Samp18.xml
sup 				subsup-stack.xml
sup 				Samp10.xml
supplement 			nlm-citation5
supplementary-material 		Samp57.xml
surname 			samp1-artmeta2.xml
table 				Samp6.xml
table-count 			samp42.xml
table-wrap 			Samp6.xml
table-wrap-foot 		Samp6.xml
table-wrap-group 		Samp51.xml
tbody 				Samp49.xml
td 				Samp35.xml
term 				Samp61.xml
term-head 			Samp61.xml
tex-math 			Samp17.xml
tfoot 				Samp35.xml
th 				Samp35.xml
thead 				Samp35.xml
time-stamp 			time-stamp.xml
title 				Samp2.xml
title-group 			samp1-artmeta.xml
tr 				Samp6.xml
trans-abstract 			Samp58.xml
trans-source 			trans-source.xml
trans-title 			nlm-citation3
underline 			Samp16.xml
uri 				samp31.xml
verse-group 			Samp54.xml
verse-line 			Samp54.xml
volume 				volume_meta.xml
volume 				nlm-citation1
word-count 			samp42.xml
xref 				Samp3.xml
year 				year_meta.xml
year 				nlm-citation1
